"series","episode","baker_name","baker","result","baker_age","baker_occupation","hometown","signature_bake","show_stopper","technical"
1,1,"Annetha Mills","Annetha","IN",30,"Midwife","Essex","Light Jamaican Black Cakewith Strawberries and Cream","Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream",2
1,1,"David Chambers","David","IN",31,"Entrepreneur","Milton Keynes","Chocolate Orange Cake","Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs",3
1,1,"Edd Kimber","Edd","IN",24,"Debt collector for Yorkshire Bank","Bradford","Caramel Cinnamon and Banana Cake","N/A",1
1,1,"Jasminder Randhawa","Jasminder","IN",45,"Assistant Credit Control Manager","Birmingham","Fresh Mango and Passion Fruit Hummingbird Cake","N/A",NA
1,1,"Jonathan Shepherd","Jonathan","IN",25,"Research Analyst","St Albans","Carrot Cake with Lime and Cream Cheese Icing","Three Tiered White and Dark Chocolate with Almond and Cherry",9
1,1,"Lea Harris","Lea","OUT",51,"Retired","Midlothian, Scotland","Cranberry and Pistachio Cakewith Orange Flower Water Icing","Raspberries and Cream filled Chocolatewith Chocolate-dipped Fresh Fruit",10
1,1,"Louise Brimelow","Louise","IN",44,"Police Officer","Manchester","Carrot and Orange Cake","Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border",NA
1,1,"Mark Whithers","Mark","OUT",48,"Bus Driver","South Wales","Sticky Marmalade Tea Loaf","Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.",NA
1,1,"Miranda Browne","Miranda","IN",37,"Food buyer for Marks & Spencer","Midhurst, West Sussex","Triple Layered Brownie Meringue Cake
with Raspberry Cream","Three Tiered Chocolate Fudge Cake  with Handmade Chocolate Button Decorations",8
1,1,"Ruth Clemens","Ruth","IN",31,"Retail manager/Housewife","Poynton, Cheshire","Three Tiered Lemon Drizzle Cakewith Fresh Cream and freshly made Lemon Curd","Classic Chocolate Sponge wrapped in a Chocolate Collartopped with Handmade White and Dark Chocolate Truffles",NA
1,2,"Annetha Mills","Annetha","OUT",30,"Midwife","Essex","Rose Petal Shortbread","Pink Swirl Macarons / Eclairs",7
1,2,"David Chambers","David","IN",31,"Entrepreneur","Milton Keynes","Cheddar Cheese and Fresh Rosemary Biscuits","Choux Pastry Swans  Chocolate Profiteroles",8
1,2,"Edd Kimber","Edd","IN",24,"Debt collector for Yorkshire Bank","Bradford","Oatmeal Raisin Cookie","Pink Macarons",6
1,2,"Jasminder Randhawa","Jasminder","IN",45,"Assistant Credit Control Manager","Birmingham","Millionaires' Shortbread","Meringues with Chocolate and Space DustCoffee flavoured Eclairs",2
1,2,"Jonathan Shepherd","Jonathan","IN",25,"Research Analyst","St Albans","Honey and Candied Ginger Cookies","Meringues with Whiskey Cream",1
1,2,"Louise Brimelow","Louise","OUT",44,"Police Officer","Manchester","Stained Glass Window Shortbread","Strawberry, Mint, and Cream Meringues  Chocolate Eclairs / Orange, Yellow and Pink Macarons",4
1,2,"Miranda Browne","Miranda","IN",37,"Food buyer for Marks & Spencer","Midhurst, West Sussex","Fresh Vanilla Biscuits with Royal Icing","Pistachio Macarons",3
1,2,"Ruth Clemens","Ruth","IN",31,"Retail manager/Housewife","Poynton, Cheshire","Peanut Shortbread withSalted Peanut Caramel","Almond Macaron with Violet ButtercreamRaspberries and Cream Eclairs",5
1,2,NA,"Lea",NA,NA,NA,NA,NA,NA,NA
1,2,NA,"Mark",NA,NA,NA,NA,NA,NA,NA
1,3,"David Chambers","David","IN",31,"Entrepreneur","Milton Keynes","Chilli Bread","Walnut and Seed Roll
Red Berry and Almond Bun",4
1,3,"Edd Kimber","Edd","IN",24,"Debt collector for Yorkshire Bank","Bradford","Olive Bread","Tomato and Mozzarella",1
1,3,"Jasminder Randhawa","Jasminder","IN",45,"Assistant Credit Control Manager","Birmingham","Focaccia","Mango and Sultana Buns
Pan au Chocolat with Mars Bars
Tutti Frutti Wheel with Jelly Tots",5
1,3,"Jonathan Shepherd","Jonathan","OUT",25,"Research Analyst","St Albans","Anchovy, Sweet Paprika and Oregano Bread","Sticky Lemon Honey Bun
Olive and Anchovy Roll
Sundried Tomatoes and Fresh Herbs Roll
Stilton, Walnut and Apple Roll
Cinnamon and Cardamom Chelsea Bun",6
1,3,"Miranda Browne","Miranda","IN",37,"Food buyer for Marks & Spencer","Midhurst, West Sussex","Walnut and Apricot Bread","Lemon Iced Buns
Chocolate and Orange Buns",3
1,3,"Ruth Clemens","Ruth","IN",31,"Retail manager/Housewife","Poynton, Cheshire","Maple and Pecan Bread","Chocolate and Orange Panettone
Cranberry Bagels",2
1,3,NA,"Annetha",NA,NA,NA,NA,NA,NA,NA
1,3,NA,"Lea",NA,NA,NA,NA,NA,NA,NA
1,3,NA,"Louise",NA,NA,NA,NA,NA,NA,NA
1,3,NA,"Mark",NA,NA,NA,NA,NA,NA,NA
1,4,"David Chambers","David","OUT",31,"Entrepreneur","Milton Keynes","Pear and Walnut Pudding","Apple and Blackberry Crumble, Rhubarb and Orange Betty, Suet Pear",5
1,4,"Edd Kimber","Edd","IN",24,"Debt collector for Yorkshire Bank","Bradford","Apple and Plum Pudding","Apple and Cinnamon Crumble, Nutella Banana Brioche Bread Pudding, Rhubarb and Strawberry Suet Layer",3
1,4,"Jasminder Randhawa","Jasminder","IN",45,"Assistant Credit Control Manager","Birmingham","Sticky Toffee Pudding with Tropical Fruit & Toffee Sauce","Bread & Butter Pudding, Treacle Suet Pudding with Fresh Fruit, Apple and Pineapple Crumble",2
1,4,"Miranda Browne","Miranda","IN",37,"Food buyer for Marks & Spencer","Midhurst, West Sussex","Sticky Toffee Pudding","Queen of Puddings, Chocolate Pear Roly Poly, Strawberry and Rhubarb Crumble",1
1,4,"Ruth Clemens","Ruth","IN",31,"Retail manager/Housewife","Poynton, Cheshire","Peach and Blueberry Boy Bait","Apple & Ginger Crumble, Rhubarb Suet Crust, Cherry Queen of Puddings",4
1,4,NA,"Annetha",NA,NA,NA,NA,NA,NA,NA
1,4,NA,"Jonathan",NA,NA,NA,NA,NA,NA,NA
1,4,NA,"Lea",NA,NA,NA,NA,NA,NA,NA
1,4,NA,"Louise",NA,NA,NA,NA,NA,NA,NA
1,4,NA,"Mark",NA,NA,NA,NA,NA,NA,NA
1,5,"Edd Kimber","Edd","IN",24,"Debt collector for Yorkshire Bank","Bradford","Chicken, Ham, Leek and Tarragon Pie","Almond Sweet Pastry with Ginger and Chocolate  Raspberry Tart / Yorkshire Curd Tart  Chickpea and Salami, Red and Yellow Pepper, Asparagus Gruyere Quiche Canapés",2
1,5,"Jasminder Randhawa","Jasminder","OUT",45,"Assistant Credit Control Manager","Birmingham","Chicken and Mushroom Pie","Jaggery, Carrot, and Spiced Condensed Milk Tart  Fruit and Custard Tart  Thai Chili Red Onion, Duck in Plum Sauce, Salmon and Prawn Canapés",4
1,5,"Miranda Browne","Miranda","IN",37,"Food buyer for Marks & Spencer","Midhurst, West Sussex","Summery Salmon, Cod and Prawn Fish Pie","Chocolate Pastry filled with Orange Cheesecake  Chocolate Pastry filled with Milk Chocolate Ganche  Strawberry Tart with Red Currant Glaze  Cheesy Crab, Broad Bean and Tomato, Pancetta Risotto Canapés",1
1,5,"Ruth Clemens","Ruth","IN",31,"Retail manager/Housewife","Poynton, Cheshire","Minced Beef Pie","Raspberry and Dark Chocolate Tart  Creme Patisserie and Cherry Tart  Citrus Curd Tart with Creme Brulee top  Tomato, Asparagus Twirl Canapés",3
1,5,NA,"Annetha",NA,NA,NA,NA,NA,NA,NA
1,5,NA,"David",NA,NA,NA,NA,NA,NA,NA
1,5,NA,"Jonathan",NA,NA,NA,NA,NA,NA,NA
1,5,NA,"Lea",NA,NA,NA,NA,NA,NA,NA
1,5,NA,"Louise",NA,NA,NA,NA,NA,NA,NA
1,5,NA,"Mark",NA,NA,NA,NA,NA,NA,NA
1,6,"Edd Kimber","Edd","WINNER",24,"Debt collector for Yorkshire Bank","Bradford","Cinnamon and Banana Cake",NA,NA
1,6,"Miranda Browne","Miranda","Runner-up",37,"Food buyer for Marks & Spencer","Midhurst, West Sussex","Lemon Cupcake","Eliminated after signature",NA
1,6,"Ruth Clemens","Ruth","Runner-up",31,"Retail manager/Housewife","Poynton, Cheshire","Mint, Ginger and Blackberry Cake",NA,NA
1,6,NA,"Annetha",NA,NA,NA,NA,NA,NA,NA
1,6,NA,"David",NA,NA,NA,NA,NA,NA,NA
1,6,NA,"Jasminder",NA,NA,NA,NA,NA,NA,NA
1,6,NA,"Jonathan",NA,NA,NA,NA,NA,NA,NA
1,6,NA,"Lea",NA,NA,NA,NA,NA,NA,NA
1,6,NA,"Louise",NA,NA,NA,NA,NA,NA,NA
1,6,NA,"Mark",NA,NA,NA,NA,NA,NA,NA
2,1,"Ben Frazer","Ben","IN",31,"Graphic Designer","Northampton","Rhubarb and Custard CupcakesAfter Dinner Cupcakes","Vanilla Sponge with White Chocolate and Raspberry Buttercream",2
2,1,"Holly Bell","Holly","STAR BAKER",31,"Advertising executive","Leicester","Cherry Bakewell Inspired CupcakesGinger Cupcakes with Fig Truffle","UNKNOWN",1
2,1,"Ian Vallance","Ian","IN",40,"Fundraiser for English Heritage","Dunstable, Bedfordshire","Apple and Cinnamon Cupcakes","UNKNOWN",10
2,1,"Janet Basu","Janet","IN",63,"Teacher of Modern Languages","Formby, Liverpool","Raspberry and Cream Cupcakes","Chocolate Marble Cakewith Dark and White Chocolate Truffles",8
2,1,"Jason White","Jason","IN",19,"Civil Engineering Student","Croydon","Lemon Meringue CupcakesApple and Cinnamon Cupcakes","UNKNOWN",6
2,1,"Keith Batsford","Keith","OUT",31,"House husband","Arlesey, Bedfordshire","Earl Grey Cupcakes","Chocolate and Sour Cream Cake",12
2,1,"Mary-Anne Boermans","Mary-Anne","IN",45,"Housewife","Kidderminster, Worcestershire","Banoffee Cupcakes","Chocolate and Raspberry Opera cake",4
2,1,"Robert Billington","Robert","IN",25,"Photographer","London","Blackberry and Vanilla Cupcakeswith Liquorice Frosting","Genoise Layered Mousse Cakewith Chocolate Ganache",3
2,1,"Simon Blackwell","Simon","IN",31,"Rugby Coach","Norfolk","Guinness and Chocolate Cupcakes","Two-Tiered Chocolate Courgette Cake",9
2,1,"Urvashi Roe","Urvashi","IN",40,"Head of Marketing","Enfield, London","Cherry Blossom CupcakesJapanese Lime Cupcakes","UNKNOWN",7
2,1,"Yasmin Limbert","Yasmin","IN",43,"Childminder","West Kirby, The Wirral","Cardamom and Pomegranate Cupcakes","UNKNOWN",5
2,1,NA,"""Jo""",NA,NA,NA,NA,"Chocolate Orange CupcakesOrange and Cardamom Cupcakes","Chocolate and Strawberry Cake",NA
2,1,NA,"Joanne","IN",NA,NA,NA,NA,NA,11
2,2,"Ben Frazer","Ben","IN",31,"Graphic Designer","Northampton","Chorizo, Pepper and Gruyere Quiche","Lemon Meringue Tarts",1
2,2,"Holly Bell","Holly","IN",31,"Advertising executive","Leicester","Pesto Quiche","Milk Chocolate and Pistachio TartsTrifle Tarts",4
2,2,"Ian Vallance","Ian","IN",40,"Fundraiser for English Heritage","Dunstable, Bedfordshire","Stilton, Spinach and New Potato Quichewith Paprika and Walnut Pastry","UNKNOWN",2
2,2,"Janet Basu","Janet","IN",63,"Teacher of Modern Languages","Formby, Liverpool","Quiche Printanière","Red Fruit TartsChocolate and Cherry Tarts",8
2,2,"Jason White","Jason","STAR BAKER",19,"Civil Engineering Student","Croydon","Salmon and Pak Choi Quiche","Mint Chocolate Tarts Blueberry Bakewell Tarts",3
2,2,"Mary-Anne Boermans","Mary-Anne","IN",45,"Housewife","Kidderminster, Worcestershire","Roasted Cauliflower, Cheese andCaramelised Onion Quiche","Butterscotch Brulée Tarts in Pecan PastryApple Rose Tarts",9
2,2,"Robert Billington","Robert","IN",25,"Photographer","London","Smoked Bacon and Kale Quiche","Chocolate, Fennel and Ginger TartAlmond, Creme Patissiere and Poached Pear Tart",5
2,2,"Simon Blackwell","Simon","OUT",31,"Rugby Coach","Norfolk","Smoked Haddock and Watercress Quiche","Passion Fruit and Ricotta TartsSalted Chocolate, Stem Ginger and Mascarpone Cream Tarts",11
2,2,"Urvashi Roe","Urvashi","IN",40,"Head of Marketing","Enfield, London","Crab, Coriander and Coconut Quiche","Strawberry and Basil TartsElderflower and Honeycomb Tarts",7
2,2,"Yasmin Limbert","Yasmin","IN",43,"Childminder","West Kirby, The Wirral","Smoked Haddock and Watercress Quiche","Chocolate and Orange with Cinnamon-Orange Pastry TartsBlueberry and Hazelnut with Hazelnut Pastry Tarts",6
2,2,NA,"""Jo""",NA,NA,NA,NA,"Caramelised Onion, Gruyere and Thyme Quiche","Raspberry and Mascarpone Tarts with Lemon and Almond PastryHoney and Almond Tarts with Sweetcrust",NA
2,2,NA,"Joanne","IN",NA,NA,NA,NA,NA,10
2,2,NA,"Keith",NA,NA,NA,NA,NA,NA,NA
2,3,"Ben Frazer","Ben","IN",31,"Graphic Designer","Northampton","Walnut, Raisin and Rosemary Loaf","UNKNOWN",3
2,3,"Holly Bell","Holly","IN",31,"Advertising executive","Leicester","Picnic Loaf","Stilton and Walnut Rolls",6
2,3,"Ian Vallance","Ian","OUT",40,"Fundraiser for English Heritage","Dunstable, Bedfordshire","Courgette, Caerphilly Cheese and Thyme Loaf","Walnut and Raisin RollsCracked Wheat Logs",10
2,3,"Janet Basu","Janet","IN",63,"Teacher of Modern Languages","Formby, Liverpool","Zupfe Loaf with Gruyère Cheese","Apple and Walnut Granary Rolls Red Onion Cottage Rolls",8
2,3,"Jason White","Jason","IN",19,"Civil Engineering Student","Croydon","Cheese and Onion Tear and Share Loaf","UNKNOWN",7
2,3,"Mary-Anne Boermans","Mary-Anne","IN",45,"Housewife","Kidderminster, Worcestershire","Ploughman's Loaf","Herb and Walnut BreadsChocolate and Chilli Buns",5
2,3,"Robert Billington","Robert","IN",25,"Photographer","London","Rye and Coriander Seed Loaf","Blueberry Brioche RollsLemon and Poppy Seed Rolls",4
2,3,"Urvashi Roe","Urvashi","OUT",40,"Head of Marketing","Enfield, London","Salt and Peppercorn Loaf","Chilli and Halloumi RollsLemon and Coriander Mini Loaves",9
2,3,"Yasmin Limbert","Yasmin","STAR BAKER",43,"Childminder","West Kirby, The Wirral","Egyptian Dukkah Loaf with Mixed Spices","Pesto Bread
Sweet Coconut Rolls",2
2,3,NA,"""Jo""",NA,NA,NA,NA,"Stromboli flavored with Mozzarella, Ham, and Picante Pepper","Unknown",NA
2,3,NA,"Joanne","IN",NA,NA,NA,NA,NA,1
2,3,NA,"Keith",NA,NA,NA,NA,NA,NA,NA
2,3,NA,"Simon",NA,NA,NA,NA,NA,NA,NA
2,4,"Ben Frazer","Ben","OUT",31,"Graphic Designer","Northampton","Stem Ginger Nuts","Chocolate and Almond MacaronsPine Nut MacaronsPistachio Macarons",5
2,4,"Holly Bell","Holly","STAR BAKER",31,"Advertising executive","Leicester","Strawberry and Custard Melts","'Chocolate bars of my youth'
(Caramel Macarons, Mint Chocolate Macarons and Chocolate Orange Macarons)",3
2,4,"Janet Basu","Janet","IN",63,"Teacher of Modern Languages","Formby, Liverpool","Christmas Marzipan Biscuits","Raspberry Macarons
Blackcurrant Macarons
Almond Macarons",4
2,4,"Jason White","Jason","STAR BAKER",19,"Civil Engineering Student","Croydon","Lebkuchen","Mocktail Macarons
(Mojito, Cranberry Cooler, and Pina Colada)",1
2,4,"Mary-Anne Boermans","Mary-Anne","IN",45,"Housewife","Kidderminster, Worcestershire","Melting Moments","Blackcurrant and Mint MacaronsGooseberry and Elderflower MacaronsHazelnut Macarons",2
2,4,"Robert Billington","Robert","IN",25,"Photographer","London","Chocolate and Ginger Oat Biscuits","Strawberry and Lime MacaronsLemon MacaronsChocolate and Cardamom Macarons",7
2,4,"Yasmin Limbert","Yasmin","IN",43,"Childminder","West Kirby, The Wirral","Chocolate Chip and Pistachio Biscotti","Chocolate and Lime MacaronsCoffee and Walnut MacaronsPineapple and Coconut Macarons",6
2,4,NA,"""Jo""",NA,NA,NA,NA,"Lavender Biscuits","Blueberry MacaronsCoconut MacaronsStrawberry Macarons",NA
2,4,NA,"Joanne","IN",NA,NA,NA,NA,NA,8
2,4,NA,"Ian",NA,NA,NA,NA,NA,NA,NA
2,4,NA,"Keith",NA,NA,NA,NA,NA,NA,NA
2,4,NA,"Simon",NA,NA,NA,NA,NA,NA,NA
2,4,NA,"Urvashi",NA,NA,NA,NA,NA,NA,NA
2,5,"Holly Bell","Holly","IN",31,"Advertising executive","Leicester","Stilton, Potato and Caramelised Onion Pie","Lime Meringue Pie",4
2,5,"Janet Basu","Janet","STAR BAKER",63,"Teacher of Modern Languages","Formby, Liverpool","Chicken and Chestnut Pie","Rhubarb Meringue Pie",1
2,5,"Jason White","Jason","OUT",19,"Civil Engineering Student","Croydon","Brown Down Chicken Pie","Plum Meringue Pie",7
2,5,"Mary-Anne Boermans","Mary-Anne","IN",45,"Housewife","Kidderminster, Worcestershire","Chicken and Bacon Pie","Midnight Meringue",2
2,5,"Robert Billington","Robert","OUT",25,"Photographer","London","Chicken and Mushroom Pie","Rhubarb and Custard Meringue Pie",3
